Date,종가,등락율
2002-07-22,720.9,-4.47
2002-07-23,743.52,3.1400000000000006
2002-07-24,721.41,-2.97
2002-07-25,723.52,0.29
2002-07-26,697.84,-3.55
2002-07-29,700.35,0.36
2002-07-30,724.08,3.39
2002-07-31,717.99,-0.84
2002-08-01,707.8,-1.42
2002-08-02,700.68,-1.01
2002-08-05,675.76,-3.56
2002-08-06,673.78,-0.29
2002-08-07,679.37,0.83
2002-08-08,684.49,0.75
2002-08-09,692.45,1.16
2002-08-12,695.39,0.42
2002-08-13,708.63,1.9
2002-08-14,711.24,0.37
2002-08-16,718.29,0.9899999999999999
2002-08-19,717.58,-0.1
2002-08-20,736.7,2.66
2002-08-21,745.12,1.14
2002-08-22,745.75,0.08
2002-08-23,740.51,-0.7
2002-08-26,734.79,-0.77
2002-08-27,724.17,-1.45
2002-08-28,724.05,-0.02
2002-08-29,724.94,0.12
2002-08-30,736.4,1.58
2002-09-02,751.98,2.12
2002-09-03,740.59,-1.51
2002-09-04,723.05,-2.37
2002-09-05,720.98,-0.29
2002-09-06,708.73,-1.7000000000000002
2002-09-09,697.89,-1.53
2002-09-10,713.3,2.21
2002-09-11,724.71,1.6
2002-09-12,739.22,2.0
2002-09-13,718.17,-2.85
2002-09-16,704.38,-1.92
2002-09-17,726.8,3.18
2002-09-18,703.87,-3.15
2002-09-19,704.12,0.04
2002-09-23,679.43,-3.51
2002-09-24,672.28,-1.05
2002-09-25,657.96,-2.13
2002-09-26,662.41,0.68
2002-09-27,663.72,0.2
2002-09-30,646.42,-2.61
2002-10-01,652.13,0.88
2002-10-02,648.1,-0.62
2002-10-04,650.92,0.44
2002-10-07,627.4,-3.61
2002-10-08,634.84,1.19
2002-10-09,619.94,-2.35
2002-10-10,584.04,-5.79
2002-10-11,587.51,0.59
2002-10-14,614.27,4.55
2002-10-15,629.57,2.49
2002-10-16,636.25,1.06
2002-10-17,644.66,1.32
2002-10-18,670.79,4.05
2002-10-21,652.67,-2.7
2002-10-22,639.27,-2.05
2002-10-23,657.43,2.84
2002-10-24,654.98,-0.37
2002-10-25,655.88,0.14
2002-10-28,678.14,3.39
2002-10-29,673.18,-0.73
2002-10-30,658.03,-2.25
2002-10-31,658.92,0.14
2002-11-01,647.65,-1.71
2002-11-04,672.68,3.8599999999999994
2002-11-05,664.9,-1.16
2002-11-06,682.56,2.66
2002-11-07,681.27,-0.19
2002-11-08,674.85,-0.9399999999999998
2002-11-11,657.78,-2.53
2002-11-12,654.43,-0.51
2002-11-13,653.85,-0.09
2002-11-14,652.15,-0.26
2002-11-15,672.95,3.19
2002-11-18,667.13,-0.86
2002-11-19,671.44,0.65
2002-11-20,682.0,1.5700000000000003
2002-11-21,690.38,1.23
2002-11-22,692.87,0.36
2002-11-25,705.86,1.87
2002-11-26,702.27,-0.51
2002-11-27,708.07,0.83
2002-11-28,714.54,0.91
2002-11-29,724.8,1.44
2002-12-02,730.16,0.74
2002-12-03,736.57,0.88
2002-12-04,714.5,-3.0
2002-12-05,722.76,1.16
2002-12-06,718.09,-0.65
2002-12-09,709.11,-1.25
2002-12-10,702.44,-0.9399999999999998
2002-12-11,698.61,-0.55
2002-12-12,715.38,2.4
2002-12-13,708.13,-1.01
2002-12-16,692.42,-2.22
2002-12-17,704.49,1.7399999999999998
2002-12-18,709.22,0.67
2002-12-20,709.44,0.03
2002-12-23,691.38,-2.55
2002-12-24,677.82,-1.96
2002-12-26,671.89,-0.8699999999999999
2002-12-27,656.92,-2.23
2002-12-30,627.55,-4.47
2003-01-02,635.17,1.21
2003-01-03,661.1,4.08
2003-01-06,666.71,0.8500000000000001
2003-01-07,652.2,-2.18
2003-01-08,651.72,-0.07
2003-01-09,630.4,-3.27
2003-01-10,628.36,-0.32
2003-01-13,648.06,3.1400000000000006
2003-01-14,650.05,0.31
2003-01-15,648.29,-0.27
2003-01-16,648.69,0.06
2003-01-17,636.46,-1.8900000000000001
2003-01-20,634.5,-0.31
2003-01-21,632.86,-0.26
2003-01-22,622.49,-1.6399999999999997
2003-01-23,625.18,0.43
2003-01-24,609.43,-2.52
2003-01-27,593.09,-2.68
2003-01-28,600.56,1.26
2003-01-29,583.35,-2.87
2003-01-30,591.86,1.46
2003-02-03,600.41,1.44
2003-02-04,603.78,0.56
2003-02-05,600.68,-0.51
2003-02-06,589.5,-1.86
2003-02-07,577.48,-2.04
2003-02-10,577.25,-0.04
2003-02-11,575.98,-0.22
2003-02-12,583.29,1.27
2003-02-13,575.67,-1.31
2003-02-14,575.24,-0.07
2003-02-17,601.87,4.63
2003-02-18,603.45,0.26
2003-02-19,600.83,-0.43
2003-02-20,605.51,0.78
2003-02-21,603.6,-0.32
2003-02-24,616.29,2.1
2003-02-25,592.25,-3.9
2003-02-26,590.26,-0.34
2003-02-27,582.46,-1.32
2003-02-28,575.43,-1.21
2003-03-03,590.04,2.54
2003-03-04,576.58,-2.28
2003-03-05,560.26,-2.83
2003-03-06,555.33,-0.88
2003-03-07,546.02,-1.68
2003-03-10,544.24,-0.33
2003-03-11,532.53,-2.15
2003-03-12,531.81,-0.14
2003-03-13,531.78,-0.01
2003-03-14,537.65,1.1
2003-03-17,515.24,-4.17
2003-03-18,537.31,4.28
2003-03-19,541.78,0.83
2003-03-20,568.46,4.92
2003-03-21,575.77,1.29
2003-03-24,569.85,-1.03
2003-03-25,554.98,-2.61
2003-03-26,554.79,-0.03
2003-03-27,549.26,-1.0
2003-03-28,556.33,1.29
2003-03-31,535.7,-3.71
2003-04-01,538.56,0.53
2003-04-02,542.92,0.8100000000000002
2003-04-03,545.24,0.43
2003-04-04,558.01,2.34
2003-04-07,585.9,5.0
2003-04-08,587.32,0.24
2003-04-09,569.47,-3.04
2003-04-10,577.73,1.45
2003-04-11,582.97,0.91
2003-04-14,594.4,1.96
2003-04-15,604.99,1.78
2003-04-16,621.34,2.7
2003-04-17,612.72,-1.39
2003-04-18,624.77,1.97
2003-04-21,620.83,-0.63
2003-04-22,603.32,-2.82
2003-04-23,598.09,-0.8699999999999999
2003-04-24,588.35,-1.63
2003-04-25,566.63,-3.6900000000000004
2003-04-28,569.02,0.42
2003-04-29,597.36,4.98
2003-04-30,599.35,0.33
2003-05-02,597.44,-0.32
2003-05-06,604.33,1.15
2003-05-07,618.08,2.28
2003-05-09,619.11,0.17
2003-05-12,631.04,1.9299999999999997
2003-05-13,614.07,-2.69
2003-05-14,609.97,-0.67
2003-05-15,619.35,1.54
2003-05-16,610.81,-1.38
2003-05-19,596.36,-2.37
2003-05-20,602.08,0.96
2003-05-21,600.57,-0.25
2003-05-22,595.38,-0.86
2003-05-23,611.51,2.71
2003-05-26,617.65,1.0
2003-05-27,614.3,-0.54
2003-05-28,628.36,2.29
2003-05-29,632.43,0.65
2003-05-30,633.42,0.16
2003-06-02,648.71,2.41
2003-06-03,636.94,-1.81
2003-06-04,640.27,0.52
2003-06-05,642.38,0.33
2003-06-09,650.35,1.24
2003-06-10,649.75,-0.09
2003-06-11,651.29,0.24
2003-06-12,657.95,1.02
2003-06-13,665.24,1.11
2003-06-16,657.82,-1.12
2003-06-17,674.66,2.56
2003-06-18,675.75,0.16
2003-06-19,690.49,2.18
2003-06-20,686.22,-0.62
2003-06-23,674.59,-1.69
2003-06-24,664.01,-1.5700000000000003
2003-06-25,674.03,1.51
2003-06-26,675.75,0.26
2003-06-27,677.28,0.22999999999999998
2003-06-30,669.93,-1.09
2003-07-01,674.75,0.72
2003-07-02,685.8,1.6399999999999997
2003-07-03,686.83,0.15
2003-07-04,693.25,0.93
2003-07-07,704.29,1.59
2003-07-08,708.34,0.58
2003-07-09,705.5,-0.4
2003-07-10,700.51,-0.71
2003-07-11,704.15,0.52
2003-07-14,720.1,2.27
2003-07-15,713.45,-0.9199999999999999
2003-07-16,716.48,0.42
2003-07-18,699.35,-2.39
2003-07-21,693.5,-0.84
2003-07-22,699.7,0.89
2003-07-23,695.74,-0.57
2003-07-24,702.94,1.03
2003-07-25,705.09,0.31
2003-07-28,717.8,1.8000000000000003
2003-07-29,722.33,0.63
2003-07-30,714.15,-1.13
2003-07-31,713.52,-0.09
2003-08-01,727.26,1.9299999999999997
2003-08-04,718.54,-1.2
2003-08-05,721.84,0.45999999999999996
2003-08-06,707.88,-1.9299999999999997
2003-08-07,709.81,0.27
2003-08-08,704.14,-0.8
2003-08-11,704.58,0.06
2003-08-12,701.3,-0.4699999999999999
2003-08-13,713.08,1.68
2003-08-14,727.01,1.95
2003-08-18,730.1,0.43
2003-08-19,740.13,1.37
2003-08-20,737.2,-0.4
2003-08-21,754.34,2.33
2003-08-22,754.72,0.05
2003-08-25,756.73,0.27
2003-08-26,753.0,-0.49
2003-08-27,758.98,0.79
2003-08-28,752.81,-0.8100000000000002
2003-08-29,759.47,0.88
2003-09-01,764.11,0.61
2003-09-02,766.5,0.31
2003-09-03,766.32,-0.02
2003-09-04,764.15,-0.28
2003-09-05,761.55,-0.34
2003-09-08,760.25,-0.17
2003-09-09,767.46,0.95
2003-09-15,753.61,-1.8000000000000003
2003-09-16,763.63,1.33
2003-09-17,766.59,0.39
2003-09-18,758.18,-1.1
2003-09-19,748.25,-1.31
2003-09-22,714.89,-4.46
2003-09-23,718.84,0.55
2003-09-24,724.7,0.8199999999999998
2003-09-25,713.52,-1.54
2003-09-26,697.4,-2.26
2003-09-29,696.06,-0.19
2003-09-30,697.52,0.21
2003-10-01,704.29,0.97
2003-10-02,715.24,1.55
2003-10-06,723.13,1.1
2003-10-07,727.09,0.55
2003-10-08,722.76,-0.6
2003-10-09,736.16,1.8500000000000003
2003-10-10,757.89,2.95
2003-10-13,757.02,-0.11
2003-10-14,766.52,1.25
2003-10-15,764.23,-0.3
2003-10-16,776.97,1.67
2003-10-17,767.75,-1.19
2003-10-20,776.44,1.13
2003-10-21,779.89,0.44
2003-10-22,779.28,-0.08
2003-10-23,754.14,-3.2300000000000004
2003-10-24,748.17,-0.79
2003-10-27,761.61,1.8000000000000003
2003-10-28,775.36,1.81
2003-10-29,779.66,0.55
2003-10-30,785.94,0.8100000000000002
2003-10-31,782.36,-0.45999999999999996
2003-11-03,791.96,1.23
2003-11-04,796.06,0.52
2003-11-05,805.51,1.19
2003-11-06,790.04,-1.92
2003-11-07,804.05,1.77
2003-11-10,796.56,-0.93
2003-11-11,787.77,-1.1
2003-11-12,796.31,1.08
2003-11-13,813.11,2.11
2003-11-14,809.89,-0.4
2003-11-17,794.47,-1.9
2003-11-18,800.97,0.8199999999999998
2003-11-19,771.7,-3.65
2003-11-20,769.45,-0.29
2003-11-21,770.78,0.17
2003-11-24,753.65,-2.22
2003-11-25,768.11,1.92
2003-11-26,782.65,1.8900000000000001
2003-11-27,781.68,-0.12
2003-11-28,796.18,1.8500000000000003
2003-12-01,807.39,1.41
2003-12-02,807.78,0.05
2003-12-03,808.34,0.07
2003-12-04,805.13,-0.4
2003-12-05,789.41,-1.95
2003-12-08,784.8,-0.58
2003-12-09,787.35,0.32
2003-12-10,794.64,0.93
2003-12-11,791.13,-0.44
2003-12-12,806.08,1.8900000000000001
2003-12-15,822.16,1.9900000000000002
2003-12-16,810.79,-1.38
2003-12-17,800.09,-1.32
2003-12-18,807.5,0.93
2003-12-19,811.2,0.45999999999999996
2003-12-22,804.54,-0.8199999999999998
2003-12-23,801.88,-0.33
2003-12-24,792.55,-1.16
2003-12-26,788.85,-0.4699999999999999
2003-12-29,792.44,0.45999999999999996
2003-12-30,810.71,2.31
2004-01-02,821.26,1.3
2004-01-05,824.1,0.35
2004-01-06,823.43,-0.08
2004-01-07,827.07,0.44
2004-01-08,824.15,-0.35
2004-01-09,845.27,2.56
2004-01-12,850.79,0.65
2004-01-13,848.43,-0.28
2004-01-14,849.62,0.14
2004-01-15,845.66,-0.4699999999999999
2004-01-16,847.95,0.27
2004-01-19,856.8,1.04
2004-01-20,861.37,0.53
2004-01-26,869.04,0.89
2004-01-27,863.03,-0.69
2004-01-28,859.59,-0.4
2004-01-29,853.47,-0.71
2004-01-30,848.5,-0.58
2004-02-02,854.89,0.75
2004-02-03,839.87,-1.76
2004-02-04,835.5,-0.52
2004-02-05,840.92,0.65
2004-02-06,850.23,1.11
2004-02-09,864.77,1.71
2004-02-10,866.8,0.22999999999999998
2004-02-11,876.34,1.1
2004-02-12,877.95,0.18
2004-02-13,882.18,0.48
2004-02-16,881.28,-0.1
2004-02-17,884.8,0.4
2004-02-18,877.1,-0.8699999999999999
2004-02-19,881.65,0.52
2004-02-20,877.49,-0.4699999999999999
2004-02-23,877.52,0.0
2004-02-24,864.59,-1.47
2004-02-25,866.87,0.26
2004-02-26,864.86,-0.22999999999999998
2004-02-27,883.42,2.15
2004-03-02,899.21,1.79
2004-03-03,895.81,-0.38
2004-03-04,907.43,1.3
2004-03-05,905.38,-0.22999999999999998
2004-03-08,900.1,-0.58
2004-03-09,891.58,-0.95
2004-03-10,876.02,-1.7500000000000002
2004-03-11,869.93,-0.7
2004-03-12,848.8,-2.43
2004-03-15,852.26,0.4099999999999999
2004-03-16,850.13,-0.25
2004-03-17,872.38,2.62
2004-03-18,872.82,0.05
2004-03-19,883.33,1.2
2004-03-22,863.69,-2.22
2004-03-23,866.17,0.29
2004-03-24,861.72,-0.51
2004-03-25,853.38,-0.97
2004-03-26,863.95,1.24
2004-03-29,874.67,1.24
2004-03-30,873.46,-0.14
2004-03-31,880.5,0.8100000000000002
2004-04-01,882.75,0.26
2004-04-02,883.69,0.11
2004-04-06,906.19,2.55
2004-04-07,909.93,0.4099999999999999
2004-04-08,916.86,0.76
2004-04-09,905.44,-1.25
2004-04-12,918.86,1.48
2004-04-13,917.63,-0.13
2004-04-14,916.31,-0.14
2004-04-16,898.88,-1.9
2004-04-19,902.1,0.36
2004-04-20,918.9,1.86
2004-04-21,929.95,1.2
2004-04-22,924.01,-0.64
2004-04-23,936.06,1.3
2004-04-26,919.74,-1.7399999999999998
2004-04-27,915.47,-0.45999999999999996
2004-04-28,901.83,-1.49
2004-04-29,875.41,-2.93
2004-04-30,862.84,-1.44
2004-05-03,866.11,0.38
2004-05-04,867.48,0.16
2004-05-06,837.68,-3.44
2004-05-07,838.74,0.13
2004-05-10,790.68,-5.73
2004-05-11,791.02,0.04
2004-05-12,817.09,3.3000000000000003
2004-05-13,790.13,-3.3000000000000003
2004-05-14,768.46,-2.74
2004-05-17,728.98,-5.14
2004-05-18,741.99,1.78
2004-05-19,777.95,4.85
2004-05-20,767.79,-1.31
2004-05-21,786.36,2.42
2004-05-24,799.64,1.69
2004-05-25,784.06,-1.95
2004-05-27,802.46,2.35
2004-05-28,816.51,1.7500000000000002
2004-05-31,803.84,-1.55
2004-06-01,815.77,1.48
2004-06-02,804.39,-1.4
2004-06-03,770.06,-4.27
2004-06-04,780.74,1.39
2004-06-07,809.45,3.6799999999999997
2004-06-08,809.31,-0.02
2004-06-09,794.53,-1.83
2004-06-10,782.3,-1.54
2004-06-11,751.53,-3.93
2004-06-14,738.79,-1.7000000000000002
2004-06-15,752.1,1.8000000000000003
2004-06-16,752.34,0.03
2004-06-17,760.09,1.03
2004-06-18,741.73,-2.42
2004-06-21,749.3,1.02
2004-06-22,746.48,-0.38
2004-06-23,738.93,-1.01
2004-06-24,763.13,3.2799999999999994
2004-06-25,779.03,2.08
2004-06-28,770.95,-1.04
2004-06-29,778.72,1.01
2004-06-30,785.79,0.91
2004-07-01,778.03,-0.9899999999999999
2004-07-02,755.42,-2.91
2004-07-05,756.72,0.17
2004-07-06,758.47,0.22999999999999998
2004-07-07,761.88,0.45000000000000007
2004-07-08,743.64,-2.39
2004-07-09,747.46,0.51
2004-07-12,746.27,-0.16
2004-07-13,750.95,0.63
2004-07-14,736.57,-1.91
2004-07-15,732.74,-0.52
2004-07-16,739.39,0.91
2004-07-19,750.4,1.49
2004-07-20,737.0,-1.79
2004-07-21,753.32,2.21
2004-07-22,742.63,-1.42
2004-07-23,737.51,-0.69
2004-07-26,736.21,-0.18
2004-07-27,738.51,0.31
2004-07-28,744.42,0.8
2004-07-29,730.61,-1.86
2004-07-30,735.34,0.65
2004-08-02,719.59,-2.14
2004-08-03,726.44,0.95
2004-08-04,729.41,0.4099999999999999
2004-08-05,743.35,1.91
2004-08-06,733.95,-1.26
2004-08-09,742.13,1.11
2004-08-10,748.62,0.8699999999999999
2004-08-11,753.06,0.59
2004-08-12,766.7,1.81
2004-08-13,776.02,1.22
2004-08-16,773.85,-0.28
2004-08-17,771.03,-0.36
2004-08-18,773.19,0.28
2004-08-19,788.53,1.9799999999999998
2004-08-20,787.64,-0.11
2004-08-23,787.65,0.0
2004-08-24,792.34,0.6
2004-08-25,803.97,1.47
2004-08-26,810.21,0.78
2004-08-27,810.3,0.01
2004-08-30,805.19,-0.63
2004-08-31,803.57,-0.2
2004-09-01,817.36,1.72
2004-09-02,823.83,0.79
2004-09-03,820.69,-0.38
2004-09-06,824.21,0.43
2004-09-07,818.8,-0.66
2004-09-08,815.85,-0.36
2004-09-09,821.88,0.74
2004-09-10,836.34,1.76
2004-09-13,851.91,1.86
2004-09-14,851.42,-0.06
2004-09-15,850.63,-0.09
2004-09-16,855.38,0.56
2004-09-17,848.11,-0.8500000000000001
2004-09-20,856.87,1.03
2004-09-21,857.15,0.03
2004-09-22,835.1,-2.57
2004-09-23,829.68,-0.65
2004-09-24,832.1,0.29
2004-09-30,835.09,0.36
2004-10-01,846.01,1.31
2004-10-04,880.84,4.12
2004-10-05,884.84,0.45000000000000007
2004-10-06,887.45,0.29
2004-10-07,885.33,-0.24
2004-10-08,881.38,-0.45000000000000007
2004-10-11,881.11,-0.03
2004-10-12,858.09,-2.61
2004-10-13,856.18,-0.22
2004-10-14,846.63,-1.12
2004-10-15,841.94,-0.55
2004-10-18,848.27,0.75
2004-10-19,855.77,0.88
2004-10-20,828.61,-3.17
2004-10-21,820.63,-0.96
2004-10-22,828.17,0.9199999999999999
2004-10-25,808.14,-2.42
2004-10-26,813.7,0.69
2004-10-27,809.91,-0.4699999999999999
2004-10-28,833.54,2.92
2004-10-29,834.84,0.16
2004-11-01,835.66,0.1
2004-11-02,846.67,1.32
2004-11-03,861.05,1.7000000000000002
2004-11-04,851.2,-1.14
2004-11-05,860.68,1.11
2004-11-08,846.11,-1.69
2004-11-09,844.15,-0.22999999999999998
2004-11-10,860.54,1.94
2004-11-11,861.26,0.08
2004-11-12,876.67,1.79
2004-11-15,882.33,0.65
2004-11-16,876.61,-0.65
2004-11-17,885.42,1.01
2004-11-18,875.84,-1.08
2004-11-19,867.03,-1.01
2004-11-22,849.99,-1.97
2004-11-23,860.4,1.22
2004-11-24,872.56,1.41
2004-11-25,872.49,-0.01
2004-11-26,858.12,-1.6500000000000001
2004-11-29,865.4,0.8500000000000001
2004-11-30,878.06,1.46
2004-12-01,876.8,-0.14
2004-12-02,884.1,0.83
2004-12-03,882.55,-0.18
2004-12-06,870.75,-1.34
2004-12-07,861.07,-1.11
2004-12-08,871.74,1.24
2004-12-09,861.31,-1.2
2004-12-10,844.85,-1.91
2004-12-13,844.2,-0.08
2004-12-14,849.4,0.62
2004-12-15,868.84,2.29
2004-12-16,873.7,0.56
2004-12-17,875.13,0.16
2004-12-20,884.31,1.05
2004-12-21,882.82,-0.17
2004-12-22,883.38,0.06
2004-12-23,876.88,-0.74
2004-12-24,879.92,0.35
2004-12-27,876.98,-0.33
2004-12-28,878.43,0.17
2004-12-29,884.27,0.66
2004-12-30,895.92,1.32
2005-01-03,893.71,-0.25
2005-01-04,886.9,-0.76
2005-01-05,885.19,-0.19
2005-01-06,871.28,-1.5700000000000003
2005-01-07,870.84,-0.05
2005-01-10,874.18,0.38
2005-01-11,884.29,1.16
2005-01-12,880.03,-0.48
2005-01-13,885.54,0.63
2005-01-14,905.1,2.21
2005-01-17,923.08,1.9900000000000002
2005-01-18,920.57,-0.27
2005-01-19,916.27,-0.4699999999999999
2005-01-20,909.37,-0.75
2005-01-21,919.61,1.13
2005-01-24,923.11,0.38
2005-01-25,915.1,-0.8699999999999999
2005-01-26,927.0,1.3
2005-01-27,924.87,-0.22999999999999998
2005-01-28,921.59,-0.35
2005-01-31,932.7,1.21
2005-02-01,923.69,-0.97
2005-02-02,921.44,-0.24
2005-02-03,928.79,0.8
2005-02-04,933.55,0.51
2005-02-07,949.19,1.68
2005-02-11,947.23,-0.21
2005-02-14,964.79,1.8500000000000003
2005-02-15,968.88,0.42
2005-02-16,971.56,0.28
2005-02-17,972.56,0.1
2005-02-18,984.1,1.19
2005-02-21,988.71,0.4699999999999999
2005-02-22,977.8,-1.1
2005-02-23,968.43,-0.96
2005-02-24,987.1,1.9299999999999997
2005-02-25,996.95,1.0
2005-02-28,1011.36,1.45
2005-03-02,1007.48,-0.38
2005-03-03,1010.92,0.34
2005-03-04,1012.96,0.2
2005-03-07,1007.5,-0.54
2005-03-08,1000.28,-0.72
2005-03-09,1008.79,0.8500000000000001
2005-03-10,998.66,-1.0
2005-03-11,1022.79,2.42
2005-03-14,1019.69,-0.3
2005-03-15,993.13,-2.6
2005-03-16,993.13,0.0
2005-03-17,980.05,-1.32
2005-03-18,979.72,-0.03
2005-03-21,979.27,-0.05
2005-03-22,980.41,0.12
2005-03-23,966.81,-1.39
2005-03-24,956.33,-1.08
2005-03-25,965.3,0.9399999999999998
2005-03-28,977.7,1.28
2005-03-29,958.96,-1.92
2005-03-30,955.45,-0.37
2005-03-31,965.68,1.07
2005-04-01,981.9,1.68
2005-04-04,982.5,0.06
2005-04-06,988.0,0.56
2005-04-07,988.9,0.09
2005-04-08,992.17,0.33
2005-04-11,985.94,-0.63
2005-04-12,981.79,-0.42
2005-04-13,981.31,-0.05
2005-04-14,953.92,-2.79
2005-04-15,947.22,-0.7
2005-04-18,925.0,-2.35
2005-04-19,932.45,0.8100000000000002
2005-04-20,937.36,0.53
2005-04-21,939.14,0.19
2005-04-22,940.79,0.18
2005-04-25,946.17,0.57
2005-04-26,944.46,-0.18
2005-04-27,930.16,-1.51
2005-04-28,917.73,-1.34
2005-04-29,911.3,-0.7
2005-05-02,918.42,0.78
2005-05-03,913.82,-0.5
2005-05-04,929.35,1.7000000000000002
2005-05-06,940.85,1.24
2005-05-09,935.2,-0.6
2005-05-10,934.28,-0.1
2005-05-11,923.38,-1.17
2005-05-12,921.21,-0.24
2005-05-13,923.19,0.21
2005-05-16,929.04,0.63
2005-05-17,927.16,-0.2
2005-05-18,930.36,0.35
2005-05-19,952.09,2.34
2005-05-20,952.19,0.01
2005-05-23,951.05,-0.12
2005-05-24,951.61,0.06
2005-05-25,941.3,-1.08
2005-05-26,943.91,0.28
2005-05-27,960.91,1.8000000000000003
2005-05-30,969.04,0.8500000000000001
2005-05-31,970.21,0.12
2005-06-01,969.51,-0.07
2005-06-02,970.88,0.14
2005-06-03,976.09,0.54
2005-06-07,970.88,-0.53
2005-06-08,976.22,0.55
2005-06-09,987.58,1.16
2005-06-10,990.79,0.33
2005-06-13,990.49,-0.03
2005-06-14,983.75,-0.68
2005-06-15,1001.94,1.8500000000000003
2005-06-16,1003.14,0.12
2005-06-17,1003.68,0.05
2005-06-20,994.65,-0.9000000000000001
2005-06-21,989.99,-0.4699999999999999
2005-06-22,1002.15,1.23
2005-06-23,1010.8,0.86
2005-06-24,1002.43,-0.83
2005-06-27,991.11,-1.13
2005-06-28,994.74,0.37
2005-06-29,999.08,0.44
2005-06-30,1008.16,0.91
2005-07-01,1018.02,0.98
2005-07-04,1021.71,0.36
2005-07-05,1018.81,-0.28
2005-07-06,1019.01,0.02
2005-07-07,1026.82,0.77
